Chemical_Name,Chemical Category,Chemical Group,CAS,BetterCAS,Boiling Point (Â°C),Cancer Toxicity,Prop 65 Listed,IARC Listed,Reproductive Toxicity,Respiratory Toxicity,Dermal Toxicity,Environmental Toxicity,Summary_of_Health_Effects,Sources_of_Exposure,Environmental Impact Potential,Commercial_Products,Mitigation_Strategies
"1,2,4-Trimethylbenzene",Aromatic hydrocarbon,Aromatic hydrocarbon,95-63-6,,169,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, solvents",Moderate,"Industrial chemicals, solvents",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Diethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,0132-04-09,,282,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Benzotriazole,Heterocyclic compound,Heterocyclic compound,98-95-0,,250-270,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Corrosion inhibitors, antifreeze",Moderate,"Corrosion inhibitors, antifreeze",Avoid exposure to industrial chemicals; use alternative materials or processes.
Carvone,Ketone,Ketone,0648-02-01,,230,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Citral,Aldehyde,Aldehyde,539-24-6,,230,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Cyhalothrin I (lambda),Synthetic pyrethroid insecticide,Insecticide,63388-47-9,,200-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
D-Citronellol,Alcohol,Alcohol,7741-47-3,,230,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
DEET,Insect repellent,Amide,98-00-0,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions",Insect repellents,Moderate,Insect repellents,Use alternative insect repellents or take precautions to avoid insect bites.
Di-n-hexyl phthalate,Organic compound,Phthalate,84-75-7,,335-350,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, fragrances",Moderate (bioaccumulation potential),"Fragrances, plastics",Avoid products containing phthalates; choose alternatives.
Fipronil,Insecticide,Phenylpyrazole,86394-41-3,,210-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Geraniol,Alcohol,Alcohol,106-24-1,,233,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Methoprene I,Juvenile hormone analog,Juvenile hormone analog,23854-22-1,,120-140 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
P-Cymene,Aromatic hydrocarbon,Aromatic hydrocarbon,99-87-3,,175,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, solvents",Moderate,"Industrial chemicals, solvents",Avoid exposure to industrial chemicals; use alternative materials or processes.
P-Dichlorobenzene,Chlorobenzene,Chlorobenzene,120-83-2,,213,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Liver damage, kidney damage","Mothballs, disinfectants",High (persistent and bioaccumulative),"Mothballs, disinfectants",Avoid exposure to mothballs and disinfectants; use alternative moth repellents and cleaning products.
P-Xylene,Aromatic hydrocarbon,Aromatic hydrocarbon,106-42-3,,139,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, solvents",Moderate,"Industrial chemicals, solvents",Avoid exposure to industrial chemicals; use alternative materials or processes.
PBDE 49,Polybrominated diphenyl ether (PBDE),Flame retardant,1749-83-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs; use alternative flame retardants.
PBDE 99,Polybrominated diphenyl ether (PBDE),Flame retardant,12672-29-6,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs; use alternative flame retardants.
Pentadecan-15-olide,Lactone,Lactone,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Toluene,Aromatic hydrocarbon,Aromatic hydrocarbon,108-88-3,,110.6,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial solvents, gasoline",Moderate,"Industrial solvents, gasoline",Avoid exposure to solvents and gasoline; use alternative solvents or water-based products.
Trichloroethylene,Halogenated hydrocarbon,Chlorinated hydrocarbon,79-01-6,,47.6,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Liver damage, kidney damage",Industrial solvents,High (persistent and bioaccumulative),Industrial solvents,Avoid exposure to industrial solvents; phase out the use of trichloroethylene.
Tris(2-chloroisopropyl)phosphate,Organophosphate flame retardant,Flame retardant,13463-67-7,,290-310,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, plastics",Moderate,"Flame-retardant materials, plastics",Choose products without flame retardants; use alternative flame retardants.
"1,8-Dimethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,93-07-3,,262,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Methylphenol,Phenol,Phenol,95-48-7,,202,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,4-Dimethylphenol",Phenol,Phenol,105-67-9,,212,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Di-tert-butylphenol",Phenol,Phenol,131-72-6,,272,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Methoxyphenol,Phenol,Phenol,0123-05-07,,244,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"4,4'-DDT",Organochlorine pesticide,Pesticide,50-29-3,,317,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of DDT.
Bisphenol A,Organic compound,Bisphenol,77-42-9,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Plastics, food packaging",Moderate,"Plastics, food packaging",Choose BPA-free products; use alternative materials.
Ethiolate,Herbicide,Herbicide,34571-37-5,,240-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Farnesol I,Alcohol,Alcohol,78-70-6,,197,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Hexachlorobenzene,Chlorobenzene,Chlorobenzene,118-74-1,,326,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Liver damage, kidney damage","Pesticides, industrial chemicals",High (persistent and bioaccumulative),"Pesticides, industrial chemicals",Avoid exposure to pesticides and industrial chemicals; phase out the use of hexachlorobenzene.
Isobornyl thiocyanoacetate,Insecticide,Insecticide,327-64-1,,240-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Lyral,Aldehyde,Aldehyde,83-66-9,,224,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
M-Cresol,Phenol,Phenol,108-39-4,,202,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Methoprene II,Juvenile hormone analog,Juvenile hormone analog,23854-22-1,,120-140 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
Oxadiazon,Herbicide,Herbicide,339-57-6,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
P-toluidine,Aromatic amine,Aromatic amine,106-49-0,,200,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
PBDE 47,Polybrominated diphenyl ether (PBDE),Flame retardant,1749-83-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs; use alternative flame retardants.
Pyriproxyfen,Juvenile hormone analog,Juvenile hormone analog,114559-72-1,,120-140 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
"Tricresylphosphate, ortho-",Organophosphate,Phosphate,7783-84-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without tricresyl phosphate; use alternative flame retardants.
"2,4-Dimethylaniline",Aromatic amine,Aromatic amine,98-87-3,,212,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
Buprofezin,Insecticide,Insecticide,101061-71-8,,230-250 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
Celestolide,Musk,Musk,0120-12-7,,340,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
Hydroprene,Juvenile hormone analog,Juvenile hormone analog,29018-24-7,,120-140 (decomposes),Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems",Pesticides,Moderate,Pesticides,Use alternative pesticides or integrated pest management techniques.
Methyleugenol,Phenol,Phenol,93-15-2,,245,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Promecarb,Carbamate insecticide,Carbamate,2535-80-1,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Pesticides, treated crops",High (persistent and bioaccumulative),"Pesticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Tilt,Herbicide,Herbicide,3878-85-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Tri-p-tolyl phosphate,Phosphate,Phosphate,115-86-6,,360,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without tri-p-tolyl phosphate; use alternative flame retardants.
"Tricresylphosphate, meta-",Organophosphate,Phosphate,7783-84-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame retardants, hydraulic fluids",Moderate,"Flame retardants, hydraulic fluids",Choose products without tricresyl phosphate; use alternative flame retardants.
PCB 110,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,12674-11-2,,320-330,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
PCB 47,Polychlorinated biphenyl (PCB),Chlorinated hydrocarbon,55268-70-8,,270-280,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Cancer, liver damage",Industrial chemicals,High (persistent and bioaccumulative),Industrial chemicals,Avoid exposure to PCBs; phase out the use of PCBs.
Clomazone,Herbicide,Herbicide,82079-65-0,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Hexazinone,Herbicide,Herbicide,55512-25-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
PBDEÂ 51,Polybrominated diphenyl ether (PBDE),Flame retardant,1749-83-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without PBDEs; use alternative flame retardants.
Pendimethalin,Herbicide,Herbicide,40487-42-1,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
1-Naphthylamine,Aromatic amine,Aromatic amine,134-32-1,,300,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"1,4-Dimethylnaphthalene",Aromatic hydrocarbon,Aromatic hydrocarbon,93-07-3,,262,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"1,4-Naphthoquinone",Quinone,Quinone,130-15-4,,265,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Aminophenol,Aromatic amine,Aromatic amine,95-55-0,,244,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Chlorosyringaldehyde,Phenol,Phenol,1689-69-8,,300-320,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Methylanthracene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,70-24-0,,327,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Skin irritation, respiratory problems, potential carcinogen","Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
2-Naphthylamine,Aromatic amine,Aromatic amine,134-32-1,,300,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
2-Sec-butylphenol,Phenol,Phenol,88-72-2,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,4-Di-tert-amylphenol",Phenol,Phenol,118-79-6,,418,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,4-Dichlorophenol",Phenol,Phenol,120-83-2,,213,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Liver damage, kidney damage","Industrial chemicals, solvents",High (persistent and bioaccumulative),"Industrial chemicals, solvents",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Diethylaniline",Aromatic amine,Aromatic amine,98-86-2,,265,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Diisopropylaniline",Aromatic amine,Aromatic amine,98-87-3,,212,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Dimethoxyphenol",Phenol,Phenol,93-07-3,,262,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"2,6-Dimethylphenol",Phenol,Phenol,55-21-1,,240-250,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
3-Ethylphenol,Phenol,Phenol,98-83-4,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
3-Nitroaniline,Aromatic amine,Aromatic amine,99-09-2,,285,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
"3,5-Dichloroaniline",Aromatic amine,Aromatic amine,121-71-3,,246,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Alpha-cumylphenol,Phenol,Phenol,77-47-4,,300-330,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,Moderate,"Endocrine disruptor, reproductive toxicity","Flame-retardant materials, electronics",Moderate,"Flame-retardant materials, electronics",Choose products without 4-alpha-cumylphenol; use alternative flame retardants.
4-Butylphenol,Phenol,Phenol,98-54-4,,235,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Industrial chemicals, dyes",Moderate,"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4-Chlorophenol,Phenol,Phenol,108-42-9,,230,Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Bladder cancer, liver damage","Industrial chemicals, dyes",High (persistent and bioaccumulative),"Industrial chemicals, dyes",Avoid exposure to industrial chemicals; use alternative materials or processes.
4H-cyclopenta[def]phenanthren-4-one,Ketone,Ketone,205-99-2,,370,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
6-Methylchrysene,Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,0218-01-09,,363,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Alpha-Chlordane,Organochlorine pesticide,Pesticide,57-74-9,,170-190 (decomposes),Carcinogen (IARC Group 1),Yes,Group 1,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, liver damage","Pesticides, contaminated food",High (persistent and bioaccumulative),"Pesticides, contaminated food",Avoid exposure to pesticides; phase out the use of chlordane.
Anisyl alcohol,Alcohol,Alcohol,100-51-6,,205,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, respiratory problems","Fragrances, cosmetics",Moderate,"Fragrances, cosmetics",Choose fragrance-free products or products with natural fragrances.
"Aziprotryn metabolite [2-Amino-4-isopropylamino-6-methylthio-1,3,5-triazine]",Herbicide,Herbicide,34571-37-5,,240-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Azobenzene,Azo dye,Azo dye,97-56-3,,317,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,"Bladder cancer, liver damage","Dyes, pigments",High (persistent and bioaccumulative),"Dyes, pigments",Avoid exposure to azo dyes; choose alternative colorants.
Azoxystrobin,Fungicide,Fungicide,136425-10-6,,230-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
"Benzo(a)pyrene-7,8-dione",Polycyclic aromatic hydrocarbon (PAH),Aromatic hydrocarbon,57-61-2,,495,Carcinogen (IARC Group 1),Yes,Group 1,Unknown,Low,Low,High,Cancer,"Coal tar, petroleum products",High (persistent and bioaccumulative),"Coal tar products, petroleum products",Avoid exposure to coal tar and petroleum products.
Bis(2-butoxyethyl) phthalate,Organic compound,Phthalate,117-81-7,,387,Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Endocrine disruptor, reproductive toxicity, liver damage","Plastics, consumer products",High (bioaccumulation potential),"PVC plastics, medical devices, toys",Avoid PVC products; choose alternatives.
Bromoxynil octanoic acid ester,Herbicide,Herbicide,3878-85-7,,220-230 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
Chlorfenapyr,Insecticide,Insecticide,111982-73-5,,150-170 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated crops",High (persistent and bioaccumulative),"Insecticides, treated crops",Use alternative insecticides or integrated pest management techniques.
Chlorothalonil,Fungicide,Fungicide,1897-00-3,,230-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Neurotoxicity, respiratory irritation","Fungicides, treated crops",High (persistent and bioaccumulative),"Fungicides, treated crops",Use alternative fungicides or integrated pest management techniques.
Cinerin I,Pyrethroid insecticide,Insecticide,8000-34-3,,125-140 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Cinerin II,Pyrethroid insecticide,Insecticide,8000-34-3,,125-140 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Possible reproductive toxicity,Low,Low,High,"Neurotoxicity, respiratory irritation","Insecticides, treated clothing",High (persistent and bioaccumulative),"Insecticides, treated clothing",Use alternative insecticides or integrated pest management techniques.
Cinnamyl alcohol,Alcohol,Alcohol,104-53-0,,246,Unknown,No,Not listed,Unknown,Low,Low,Moderate,"Skin irritation, allergic reactions","Fragrances, food",Moderate,"Fragrances, food",Choose fragrance-free products or products with natural fragrances.
Cycloate,Herbicide,Herbicide,111-96-6,,230-250 (decomposes),Possible carcinogen (IARC Group 2B),Yes,Group 2B,Unknown,Low,Low,High,"Cancer, reproductive toxicity",Herbicides,High (persistent and bioaccumulative),Herbicides,Use alternative herbicides or integrated pest management techniques.
