CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,E2up_onedose,P4up_onedose,E2up_CR,P4up_CR,HormoneSummary,AUC.Agonist,AUC.Antagonist,ERactivity,EDC,topEDCscore,Genotoxicity
116714-46-6,DTXSID5034773,Novaluron,Bioassay_noMC,ToxRefDB,negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
117-39-5,DTXSID4021218,Quercetin,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.101,0,low_agonism,EDC+,low,positive
117-79-3,DTXSID6020068,2-Aminoanthraquinone,Bioassay_noMC,"NTP, ToxRefDB",positive,positive,low,high,"E2, P4",0.0453,0,borderline_agonism,EDC+,high,positive
117-81-7,DTXSID5020607,Di(2-ethylhexyl) phthalate,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
117-99-7,DTXSID5047879,2-Hydroxybenzophenone,-,-,-,-,-,-,-,0.0157,0,borderline_agonism,EDC~,borderline,-
117718-60-2,DTXSID1032488,Thiazopyr,Bioassay_noMC,ToxRefDB,negative,positive,ns effect,low,P4,0.00886,0,inactive,EDC+,low,-
118-55-8,DTXSID6021957,Phenyl salicylate,-,-,positive,no data,-,-,*E2,0,5.79e-06,inactive,EDC~,none,negative
118-56-9,DTXSID1026241,"3,3,5-Trimethylcyclohexyl salicylate",-,-,positive,no data,medium,ns effect,E2,0.0217,0,borderline_agonism,EDC+,medium,negative
118-58-1,DTXSID1024598,Benzyl salicylate,-,-,positive,no data,ns effect,ns effect,negative,0.013,0,borderline_agonism,EDC~,borderline,negative
118-79-6,DTXSID6021959,"2,4,6-Tribromophenol",-,-,positive,negative,medium,low,"E2, P4",0,0,inactive,EDC+,medium,positive
118-82-1,DTXSID7022411,"4,4'-Methylenebis(2,6-di-t-butylphenol)",-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
118134-30-8,DTXSID1034212,Spiroxamine,Bioassay_noMC,ToxRefDB,positive,no data,low,ns effect,E2,0,0,inactive,EDC+,low,-
119-61-9,DTXSID0021961,Benzophenone,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,-,-,*E2,0.04,0,borderline_agonism,EDC~,borderline,negative
1191-50-0,DTXSID4042416,Sodium myristyl sulfate,-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
119446-68-3,DTXSID4032372,Difenoconazole,Bioassay_noMC,ToxRefDB,negative,negative,high,ns effect,E2,0,0.000367,inactive,EDC+,high,-
120-12-7,DTXSID0023878,Anthracene,-,-,positive,negative,low,ns effect,E2,0.0112,0,borderline_agonism,EDC+,low,positive
120-14-9,DTXSID7026285,Veratraldehyde,-,-,positive,no data,-,-,*E2,0.0572,0,borderline_agonism,EDC~,borderline,negative
120-18-3,DTXSID5044788,Naphthalene-2-sulfonic acid,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,-
120-21-8,DTXSID0021963,4-(Diethylamino)benzaldehyde,-,-,positive,negative,low,borderline,"E2, *P4",-,-,-,EDC+,low,-
120-32-1,DTXSID5020154,Clorophene,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,borderline,medium,"*E2, P4",0.0353,0.018,borderline_mixed,EDC+,medium,negative
120-46-7,DTXSID3041247,"1,3-Diphenyl-1,3-propanedione",-,-,positive,negative,-,-,*E2,0.0491,0,borderline_agonism,EDC~,borderline,negative
120-47-8,DTXSID9022528,Ethylparaben,-,-,positive,positive,low,medium,"E2, P4",0.0864,2.69e-08,borderline_agonism,EDC+,medium,negative
120-51-4,DTXSID8029153,Benzyl benzoate,-,-,positive,negative,-,-,*E2,0,2.89e-07,inactive,EDC~,none,negative
120-56-9,DTXSID7029611,Ethylenebis(oxyethylene) dibenzoate,-,-,negative,no data,-,-,negative,0.0732,0,borderline_agonism,EDC~,borderline,-
120-71-8,DTXSID1020350,2-Methoxy-5-methylaniline,Bioassay_noMC,"NTP, ToxRefDB",negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,positive
120-80-9,DTXSID3020257,"1,2-Benzenediol",Bioassay_noMC,ToxRefDB,negative,positive,low,medium,"E2, P4",0.0155,0,borderline_agonism,EDC+,medium,positive
120-83-2,DTXSID1020439,"2,4-Dichlorophenol",Bioassay_noMC,"NTP, ToxRefDB",positive,positive,high,borderline,"E2, *P4",0.00424,2.15e-08,inactive,EDC+,high,positive
120511-73-1,DTXSID9022607,Anastrozole,-,-,-,-,-,-,-,0.0201,0,borderline_agonism,EDC~,borderline,-
1207-12-1,DTXSID6052740,"4,6-Dimethyldibenzothiophene",-,-,positive,no data,-,-,*E2,-,-,-,EDC~,-,-
120983-64-4,DTXSID3044338,"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",-,-,negative,positive,ns effect,medium,P4,-,-,-,EDC+,medium,-
121-00-6,DTXSID7040788,2-tert-Butyl-4-methoxyphenol,-,-,positive,negative,-,-,*E2,0.0139,0,borderline_agonism,EDC~,borderline,negative
121-33-5,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
121-72-2,DTXSID9051618,"N,N,3-Trimethylaniline",-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,-
121-79-9,DTXSID5021201,Propyl gallate,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.0601,0,borderline_agonism,EDC~,borderline,positive
1214-39-7,DTXSID7032630,N-Benzyladenine,-,-,negative,positive,medium,low,"E2, P4",0,0,inactive,EDC+,medium,negative
121552-61-2,DTXSID1032359,Cyprodinil,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0356,0,borderline_agonism,EDC~,borderline,negative
1219-38-1,DTXSID0047957,Octylparaben,-,-,-,-,-,-,-,0.268,0,low_agonism,EDC+,low,-
122-14-5,DTXSID4032613,Fenitrothion,Bioassay_noMC,ToxRefDB,negative,positive,medium,high,"E2, P4",5.35e-05,0,inactive,EDC+,high,positive
122-39-4,DTXSID4021975,Diphenylamine,Bioassay_noMC,ToxRefDB,positive,negative,medium,borderline,"E2, *P4",0.00816,0,inactive,EDC+,medium,positive
122-42-9,DTXSID7020766,Propham,-,-,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
122453-73-0,DTXSID9032533,Chlorfenapyr,Bioassay_noMC,ToxRefDB,negative,no data,ns effect,borderline,*P4,0,0.0311,borderline_antagonism,EDC~,borderline,-
122836-35-5,DTXSID6032645,Sulfentrazone,Bioassay_noMC,ToxRefDB,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
122931-48-0,DTXSID1032642,Rimsulfuron,Bioassay_noMC,ToxRefDB,negative,positive,ns effect,medium,P4,-,-,-,EDC+,medium,-
123-07-9,DTXSID4021977,4-Ethylphenol,-,-,positive,no data,-,-,*E2,0.00352,0,inactive,EDC~,none,positive
123-31-9,DTXSID7020716,Hydroquinone,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,positive,medium,high,"E2, P4",0,0,inactive,EDC+,high,positive
123-51-3,DTXSID3025469,Isopentyl alcohol,-,-,negative,positive,-,-,*P4,-,-,-,EDC~,-,negative
124-22-1,DTXSID3021984,1-Dodecanamine,-,-,-,-,-,-,-,0.149,0,low_agonism,EDC+,low,-
124-94-7,DTXSID1040742,Triamcinolone,-,-,negative,positive,low,medium,"E2, P4",0.0939,0,borderline_agonism,EDC+,medium,-
1241-94-7,DTXSID1025300,2-Ethylhexyl diphenyl phosphate,-,-,negative,negative,-,-,negative,0.0117,0,borderline_agonism,EDC~,borderline,negative
12427-38-2,DTXSID9020794,Maneb,Bioassay_noMC,ToxRefDB,negative,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
125-84-8,DTXSID8022589,Aminoglutethimide,-,-,-,-,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,-
125116-23-6,DTXSID4034497,Metconazole,-,-,negative,no data,ns effect,ns effect,negative,0.0105,0.0316,borderline_mixed,EDC~,borderline,-
126-00-1,DTXSID0022436,"4,4-Bis(4-hydroxyphenyl)valeric acid",-,-,negative,no data,-,-,negative,0.174,0,low_agonism,EDC+,low,positive
1260-17-9,DTXSID9022817,Carminic acid,Bioassay_noMC,ToxRefDB,negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
126833-17-8,DTXSID3032549,Fenhexamid,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,borderline,*P4,0.148,0,low_agonism,EDC+,low,-
127-47-9,DTXSID6021240,Retinol acetate,-,-,negative,no data,ns effect,medium,P4,0,0,inactive,EDC+,medium,positive
127-51-5,DTXSID7027047,alpha-Isomethylionone,-,-,negative,negative,-,-,negative,0.0185,0,borderline_agonism,EDC~,borderline,negative
127308-82-1,DTXSID9047257,Zamifenacin,-,-,negative,negative,-,-,negative,0.0271,0,borderline_agonism,EDC~,borderline,-
128-04-1,DTXSID6027050,Sodium dimethyldithiocarbamate,-,-,negative,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
128-95-0,DTXSID2041252,"1,4-Diaminoanthraquinone",-,-,positive,no data,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
128639-02-1,DTXSID4032532,Carfentrazone-ethyl,Bioassay_noMC,ToxRefDB,negative,positive,high,low,"E2, P4",0,0,inactive,EDC+,high,-
129-00-0,DTXSID3024289,Pyrene,-,-,negative,no data,low,ns effect,E2,0,0,inactive,EDC+,low,positive
129630-19-9,DTXSID8034871,Pyraflufen-ethyl,Bioassay_noMC,ToxRefDB,positive,negative,medium,low,"E2, P4",0,0,inactive,EDC+,medium,-
13048-33-4,DTXSID9025401,"1,6-Hexanediol diacrylate",-,-,negative,positive,ns effect,low,P4,-,-,-,EDC+,low,negative
13071-79-9,DTXSID2022254,Terbufos,-,-,negative,negative,ns effect,ns effect,negative,0.0482,0,borderline_agonism,EDC~,borderline,positive
131-11-3,DTXSID3022455,Dimethyl phthalate,-,-,negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
131-17-9,DTXSID7020392,Diallyl phthalate,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,ns effect,ns effect,negative,0.014,0.00157,borderline_agonism,EDC~,borderline,positive
131-18-0,DTXSID5031131,Dipentyl phthalate,-,-,negative,negative,ns effect,ns effect,negative,0.0125,0.0376,borderline_mixed,EDC~,borderline,-
131-55-5,DTXSID5041306,"2,2',4,4'-Tetrahydroxybenzophenone",-,-,negative,positive,-,-,*P4,0.397,8.24e-08,low_agonism,EDC+,low,-
131-56-6,DTXSID8022406,"2,4-Dihydroxybenzophenone",-,-,-,-,-,-,-,0.266,3.25e-07,low_agonism,EDC+,low,-
131-57-7,DTXSID3022405,2-Hydroxy-4-methoxybenzophenone,-,-,positive,no data,medium,ns effect,E2,0.0645,0,borderline_agonism,EDC+,medium,positive
131341-86-1,DTXSID2032398,Fludioxonil,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0521,0,borderline_agonism,EDC~,borderline,-
1319-77-3,DTXSID3024364,Cresol,Bioassay_noMC,NTP,positive,positive,borderline,borderline,"*E2, *P4",-,-,-,EDC~,borderline,negative
13194-48-4,DTXSID4032611,Ethoprop,Bioassay_noMC,ToxRefDB,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
131983-72-7,DTXSID0032655,Triticonazole,Bioassay_noMC,ToxRefDB,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,-
13292-46-1,DTXSID6021244,Rifampicin,-,-,negative,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,-
1330-78-5,DTXSID4021391,Tris(methylphenyl) phosphate,Bioassay_noMC,"NTP, ToxRefDB",negative,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
1335-46-2,DTXSID0029214,Methylionone,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
1338-43-8,DTXSID6027397,"Sorbitan, mono-(9Z)-9-octadecenoate",-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
133855-98-8,DTXSID1040372,Epoxiconazole,-,-,negative,positive,ns effect,low,P4,0,0.0372,borderline_antagonism,EDC+,low,-
134-85-0,DTXSID2051687,4-Chlorobenzophenone,-,-,positive,no data,borderline,ns effect,*E2,-,-,-,EDC~,borderline,negative
135-19-3,DTXSID5027061,2-Naphthalenol,-,-,positive,negative,medium,borderline,"E2, *P4",0.0874,0,borderline_agonism,EDC+,medium,negative
135-20-6,DTXSID1020352,Cupferron,Bioassay_noMC,NTP,negative,negative,-,-,negative,0.0224,0,borderline_agonism,EDC~,borderline,positive
135-57-9,DTXSID7041629,"2,2'-Dibenzoylaminodiphenyl disulfide",-,-,positive,positive,medium,medium,"E2, P4",-,-,-,EDC+,medium,negative
135-88-6,DTXSID4021131,N-Phenyl-2-naphthylamine,Bioassay_noMC,NTP,positive,negative,medium,medium,"E2, P4",-,-,-,EDC+,medium,positive
135158-54-2,DTXSID1032519,Acibenzolar-S-methyl,Bioassay_noMC,ToxRefDB,positive,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,negative
135590-91-9,DTXSID6037564,Mefenpyr-diethyl,-,-,negative,no data,borderline,ns effect,*E2,-,-,-,EDC~,borderline,negative
136-77-6,DTXSID1020699,4-Hexylresorcinol,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.0687,0.00583,borderline_agonism,EDC~,borderline,positive
136-85-6,DTXSID1038743,5-Methyl-1H-benzotriazole,-,-,negative,negative,borderline,ns effect,*E2,-,-,-,EDC~,borderline,negative
136042-19-8,DTXSID1048178,FR130739,-,-,negative,positive,borderline,medium,"*E2, P4",-,-,-,EDC+,medium,-
13826-35-2,DTXSID7027756,3-Phenoxybenzenemethanol,-,-,positive,no data,medium,ns effect,E2,0.0657,0,borderline_agonism,EDC+,medium,-
138472-01-2,DTXSID2048167,FR 409,-,-,negative,positive,-,-,*P4,-,-,-,EDC~,-,-
139-02-6,DTXSID4027072,Sodium phenolate,-,-,positive,no data,-,-,*E2,0,3.45e-06,inactive,EDC~,none,-
139-13-9,DTXSID6020939,Nitrilotriacetic acid,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,high,ns effect,E2,0.0176,0,borderline_agonism,EDC+,high,positive
139340-56-0,DTXSID0047246,Darbufelone mesylate,-,-,negative,positive,ns effect,high,P4,0,0,inactive,EDC+,high,-
140-10-3,DTXSID5022489,E-Cinnamic acid,-,-,negative,negative,-,-,negative,0.101,0,low_agonism,EDC+,low,positive
140-56-7,DTXSID6040371,Fenaminosulf,Bioassay_noMC,NTP,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
140-66-9,DTXSID9022360,"4-(1,1,3,3-Tetramethylbutyl)phenol",-,-,negative,negative,-,-,negative,0.393,0,low_agonism,EDC+,low,positive
141-79-7,DTXSID1029170,4-Methylpent-3-en-2-one,-,-,-,-,-,-,-,0.14,0.000626,low_agonism,EDC+,low,negative
142-18-7,DTXSID5041275,1-Monolaurin,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
143-08-8,DTXSID6022008,1-Nonanol,-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
143-50-0,DTXSID1020770,Kepone,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.174,0.0149,low_agonism,EDC+,low,positive
143-74-8,DTXSID8022408,Phenol red,-,-,-,-,-,-,-,0.0409,0,borderline_agonism,EDC~,borderline,positive
143390-89-0,DTXSID2032558,Kresoxim-methyl,Bioassay_noMC,ToxRefDB,negative,no data,ns effect,ns effect,negative,0.0154,0.066,borderline_mixed,EDC~,borderline,negative
14371-10-9,DTXSID6024834,(2E)-3-Phenylprop-2-enal,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.0167,0,borderline_agonism,EDC~,borderline,positive
145742-28-5,DTXSID9047251,CP-122721,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
1459-93-4,DTXSID8027402,Dimethyl isophthalate,-,-,positive,no data,low,ns effect,E2,0,0,inactive,EDC+,low,negative
147-24-0,DTXSID4020537,Diphenhydramine hydrochloride,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
1470-94-6,DTXSID0051732,Indan-5-ol,-,-,positive,negative,medium,ns effect,E2,-,-,-,EDC+,medium,-
1478-61-1,DTXSID7037717,Bisphenol AF,-,-,negative,positive,-,-,*P4,0.552,2.6e-05,medium_agonism,EDC+,medium,negative
14816-18-3,DTXSID8034324,Phoxim,-,-,positive,positive,ns effect,borderline,*P4,0.156,0,low_agonism,EDC+,low,positive
148477-71-8,DTXSID6034928,Spirodiclofen,Bioassay_noMC,ToxRefDB,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,-
149062-75-9,DTXSID9047259,"1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)",-,-,negative,negative,high,ns effect,E2,0,0,inactive,EDC+,high,-
14938-35-3,DTXSID9044164,4-Pentylphenol,-,-,positive,no data,medium,ns effect,E2,-,-,-,EDC+,medium,-
149979-41-9,DTXSID7034252,Tepraloxydim,Bioassay_noMC,ToxRefDB,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
150-19-6,DTXSID0022012,3-Methoxyphenol,-,-,positive,positive,low,borderline,"E2, *P4",-,-,-,EDC+,low,-
151506-44-4,DTXSID6048175,Difpas-pyrazole,-,-,positive,negative,high,ns effect,E2,-,-,-,EDC+,high,-
15299-99-7,DTXSID5024211,Napropamide,-,-,negative,negative,ns effect,low,P4,0,2.68e-07,inactive,EDC+,low,-
15307-79-6,DTXSID3037208,Diclofenac sodium,-,-,positive,negative,-,-,*E2,0,2.58e-07,inactive,EDC~,none,negative
15310-01-7,DTXSID7041623,Benodanil,-,-,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
155990-20-8,DTXSID8047347,SR271425,-,-,negative,negative,-,-,negative,0.0558,0,borderline_agonism,EDC~,borderline,-
156-10-5,DTXSID1021031,4-Nitrosodiphenylamine,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.028,0.0138,borderline_mixed,EDC~,borderline,positive
15619-48-4,DTXSID8044593,1-Benzylquinolinium chloride,-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,-
1563-38-8,DTXSID2027414,"2,3-Dihydro-2,2-dimethyl-7-benzofuranol",-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
1563-66-2,DTXSID9020249,Carbofuran,-,-,positive,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
1570-64-5,DTXSID5022510,4-Chloro-2-methylphenol,-,-,-,-,medium,medium,"E2, P4",0.0109,4.17e-07,borderline_agonism,EDC+,medium,positive
1582-09-8,DTXSID4021395,Trifluralin,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,negative,ns effect,ns effect,negative,0.0337,0,borderline_agonism,EDC~,borderline,positive
159138-81-5,DTXSID3047344,Cariporide mesylate,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0124,3.21e-07,borderline_agonism,EDC~,borderline,-
1596-84-5,DTXSID9020370,Daminozide,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,negative,ns effect,ns effect,negative,0.0318,0.000412,borderline_agonism,EDC~,borderline,positive
1610-18-0,DTXSID6022341,Prometon,Bioassay_noMC,ToxRefDB,positive,negative,medium,borderline,"E2, *P4",0,0,inactive,EDC+,medium,-
161326-34-7,DTXSID2034590,(S)-1-Anilino-4-methyl-2-methylthio-4-phenylimidazolin-5-one,Bioassay_noMC,ToxRefDB,-,-,-,-,-,0.0164,2.11e-05,borderline_agonism,EDC~,borderline,positive
162706-14-1,DTXSID2047309,UK-156819,-,-,negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,-
1638-22-8,DTXSID3047425,4-Butylphenol,-,-,positive,no data,medium,ns effect,E2,0.111,0,low_agonism,EDC+,medium,-
16587-71-6,DTXSID4047127,4-(tert-Pentyl)-cyclohexanone,-,-,negative,no data,-,-,negative,0.0437,3.01e-05,borderline_agonism,EDC~,borderline,negative
16867-04-2,DTXSID0051782,3-Hydroxy-2-pyridone,-,-,negative,no data,borderline,ns effect,*E2,-,-,-,EDC~,borderline,-
1698-60-8,DTXSID3034872,Chloridazon,Bioassay_noMC,ToxRefDB,positive,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
171866-31-2,DTXSID8047264,CP-283097,-,-,positive,negative,medium,ns effect,E2,0.0212,0,borderline_agonism,EDC+,medium,-
1724-39-6,DTXSID1027429,Cyclododecanol,-,-,-,-,-,-,-,0.0221,0,borderline_agonism,EDC~,borderline,negative
17354-14-2,DTXSID5044605,"1,4-Bis(butylamino)anthracene-9,10-dione",-,-,positive,positive,ns effect,high,P4,-,-,-,EDC+,high,positive
1742-14-9,DTXSID9029223,"1,1-Bis(3,4-dimethylphenyl)ethane",-,-,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
1747-60-0,DTXSID9024485,6-Methoxy-2-benzothiazolamine,-,-,positive,positive,medium,high,"E2, P4",-,-,-,EDC+,high,positive
17557-23-2,DTXSID8025707,Neopentyl glycol diglycidyl ether,-,-,negative,negative,borderline,ns effect,*E2,-,-,-,EDC~,borderline,positive
17696-62-7,DTXSID4047882,Phenylparaben,-,-,-,-,-,-,-,0.275,5.68e-07,low_agonism,EDC+,low,negative
178928-70-6,DTXSID4034869,Prothioconazole,-,-,negative,positive,ns effect,low,P4,-,-,-,EDC+,low,-
17924-92-4,DTXSID0021460,Zearalenone,Bioassay_noMC,"NTP, ToxRefDB",-,-,ns effect,high,P4,0.71,0,high_agonism,EDC+,high,positive
179465-71-5,DTXSID2047303,CJ-013790,-,-,-,-,medium,ns effect,E2,0.0185,0,borderline_agonism,EDC+,medium,-
1806-26-4,DTXSID9022312,4-Octylphenol,-,-,negative,negative,-,-,negative,0.118,0,low_agonism,EDC+,low,-
181640-09-5,DTXSID4047339,SR144190,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
1836-75-5,DTXSID7020970,Nitrofen,Bioassay_noMC,NTP,positive,no data,ns effect,medium,P4,0,0,inactive,EDC+,medium,positive
1843-05-6,DTXSID9027441,Octabenzone,-,-,negative,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
1861-32-1,DTXSID0024000,Chlorthal-dimethyl,Bioassay_noMC,ToxRefDB,positive,negative,medium,borderline,"E2, *P4",0,0,inactive,EDC+,medium,-
1861-40-1,DTXSID3023899,Benfluralin,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,borderline,*P4,0.0398,5.32e-07,borderline_agonism,EDC~,borderline,negative
1885-14-9,DTXSID9044403,Phenyl carbonochloridate,-,-,positive,negative,-,-,*E2,-,-,-,EDC~,-,-
189003-92-7,DTXSID2047355,Trelanserin,-,-,negative,no data,low,ns effect,E2,0,0,inactive,EDC+,low,-
18979-55-0,DTXSID4048195,4-(Hexyloxy)phenol,-,-,-,-,-,-,-,0.161,3.4e-08,low_agonism,EDC+,low,positive
1987-50-4,DTXSID2037714,4-Heptylphenol,-,-,negative,negative,-,-,negative,0.113,0,low_agonism,EDC+,low,-
199171-88-5,DTXSID9047253,CP-401387,-,-,positive,negative,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,-
20265-97-8,DTXSID3020093,p-Anisidinium chloride,Bioassay_noMC,NTP,-,-,ns effect,medium,P4,0,0.000182,inactive,EDC+,medium,positive
2032-65-7,DTXSID3032626,Methiocarb,Bioassay_noMC,ToxRefDB,positive,positive,medium,borderline,"E2, *P4",-,-,-,EDC+,medium,-
205-99-2,DTXSID0023907,Benzo(b)fluoranthene,-,-,negative,no data,ns effect,ns effect,negative,0.012,0,borderline_agonism,EDC~,borderline,positive
206-44-0,DTXSID3024104,Fluoranthene,-,-,negative,no data,low,ns effect,E2,0.00745,0,inactive,EDC+,low,positive
208-96-8,DTXSID3023845,Acenaphthylene,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
2104-64-5,DTXSID7022174,EPN,-,-,negative,positive,medium,high,"E2, P4",0.0868,0,borderline_agonism,EDC+,high,-
210826-40-7,DTXSID2047301,CP-456773,-,-,negative,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,-
2110-18-1,DTXSID7042356,2-(3-Phenylpropyl)pyridine,-,-,positive,no data,medium,borderline,"E2, *P4",0.0171,0,borderline_agonism,EDC+,medium,-
21145-77-7,DTXSID7041544,Tonalide,-,-,negative,no data,ns effect,ns effect,negative,0.0388,0,borderline_agonism,EDC~,borderline,negative
212141-51-0,DTXSID5049073,Vatalanib dihydrochloride,-,-,negative,negative,ns effect,medium,P4,-,-,-,EDC+,medium,-
2122-70-5,DTXSID3034583,Ethyl 1-naphthaleneacetate,-,-,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
21245-02-3,DTXSID7029320,2-Ethylhexyl 4-(dimethylamino)benzoate,-,-,positive,no data,ns effect,ns effect,negative,0.0114,0,borderline_agonism,EDC~,borderline,negative
2144-53-8,DTXSID3047558,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl methacrylate",-,-,negative,negative,-,-,negative,0.0134,0,borderline_agonism,EDC~,borderline,negative
214535-77-0,DTXSID2047278,CP-457677,-,-,positive,negative,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
215297-27-1,DTXSID1047289,UK-343664,-,-,positive,negative,borderline,borderline,"*E2, *P4",0,0,inactive,EDC~,borderline,-
21662-09-9,DTXSID5041514,(4Z)-4-Decenal,-,-,negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
220860-50-4,DTXSID4047254,CP-457920,-,-,negative,no data,low,medium,"E2, P4",0,0,inactive,EDC+,medium,-
2212-67-1,DTXSID6024206,Molinate,Bioassay_noMC,ToxRefDB,positive,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,negative
2243-62-1,DTXSID3020916,"1,5-Naphthalenediamine",Bioassay_noMC,NTP,negative,positive,low,high,"E2, P4",0,0,inactive,EDC+,high,positive
22781-23-3,DTXSID9032327,Bendiocarb,Bioassay_noMC,ToxRefDB,positive,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
23031-36-9,DTXSID0032572,Prallethrin,Bioassay_noMC,ToxRefDB,negative,negative,medium,borderline,"E2, *P4",0,0,inactive,EDC+,medium,-
2310-17-0,DTXSID1024259,Phosalone,Bioassay_noMC,ToxRefDB,no data,positive,ns effect,high,P4,0.000105,0,inactive,EDC+,high,negative
23128-74-7,DTXSID5044233,Antioxidant 1098,-,-,negative,positive,ns effect,high,P4,-,-,-,EDC+,high,negative
23422-53-9,DTXSID4032405,Formetanate hydrochloride,Bioassay_noMC,ToxRefDB,positive,positive,high,high,"E2, P4",0,0,inactive,EDC+,high,-
23696-85-7,DTXSID6041397,Damascenone,-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,-
23726-91-2,DTXSID7051890,(E)-beta-Damascone,-,-,negative,positive,ns effect,medium,P4,-,-,-,EDC+,medium,negative
2385-85-5,DTXSID7020895,Mirex,Bioassay_noMC,"NTP, ToxRefDB",positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
2390-60-5,DTXSID5038888,Basic Blue 7,-,-,negative,positive,-,-,*P4,0,0.0669,borderline_antagonism,EDC~,none,-
